gene_a,gene_b,guide_a,guide_b,m_ab,m_a0,m_0b,n_double,n_single_a,n_single_b,mu
BRAF,ERBB2,1033379562,1147332747,-1.698584401677652,-0.28152570775439645,0.4224830642074471,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379490,1147332747,-0.7890410560524369,-0.1764766090431561,0.4224830642074471,1,2,2,0.9494587503608551
BRAF,ERBB2,1033390638,1147332747,-1.770916749922167,-1.0373317379027966,0.4224830642074471,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379492,1147333124,-0.5452201168822796,-0.4092464768578173,0.1941199876238797,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379562,1147333124,-0.6980700406050709,-0.28152570775439645,0.1941199876238797,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379490,1147333124,-0.8132133124654978,-0.1764766090431561,0.1941199876238797,1,2,2,0.9494587503608551
BRAF,ERBB2,1033390638,1147333124,-1.952142277953387,-1.0373317379027966,0.1941199876238797,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379492,1147332907,-1.515785879150654,-0.4092464768578173,0.3809126051030257,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379562,1147332907,-1.315553897373645,-0.28152570775439645,0.3809126051030257,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379490,1147332907,-1.292246392770292,-0.1764766090431561,0.3809126051030257,1,2,2,0.9494587503608551
BRAF,ERBB2,1033390638,1147332907,-2.111290601983277,-1.0373317379027966,0.3809126051030257,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379492,1147332732,-1.364355277782308,-0.4092464768578173,-0.018571067913629315,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379562,1147332732,-1.599143231156064,-0.28152570775439645,-0.018571067913629315,1,2,2,0.9494587503608551
BRAF,ERBB2,1033379490,1147332732,-1.308421601229235,-0.1764766090431561,-0.018571067913629315,1,2,2,0.9494587503608551
BRAF,ERBB2,1033390638,1147332732,-2.289606815692252,-1.0373317379027966,-0.018571067913629315,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285684,1161407654,-1.220243479057007,-0.19275515311419839,0.5181551370738514,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285684,1161407191,-0.5988136470355842,-0.19275515311419839,0.5854735255105836,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285684,1161411022,-1.081792624218252,-0.19275515311419839,0.7276326065694114,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285684,1161408011,-0.6206881780722476,-0.19275515311419839,0.7916590615941684,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285899,1161407654,-0.05507338450654323,0.12999615939007006,0.5181551370738514,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285899,1161407191,-1.691125566097888,0.12999615939007006,0.5854735255105836,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285899,1161411022,-1.419748810770285,0.12999615939007006,0.7276326065694114,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285899,1161408011,-2.108862095158105,0.12999615939007006,0.7916590615941684,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285887,1161407654,0.8862499325978108,-0.4672143426067418,0.5181551370738514,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285887,1161407191,0.9266322303504477,-0.4672143426067418,0.5854735255105836,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285887,1161411022,0.7481122049902722,-0.4672143426067418,0.7276326065694114,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128285887,1161408011,1.254132445847925,-0.4672143426067418,0.7916590615941684,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128291502,1161407654,-1.92768355708433,-0.24320821767783823,0.5181551370738514,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128291502,1161407191,-2.075393920682203,-0.24320821767783823,0.5854735255105836,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128291502,1161411022,-1.81561889814476,-0.24320821767783823,0.7276326065694114,1,2,2,0.9494587503608551
MAP2K1,MAP2K2,1128291502,1161408011,-2.431973092405856,-0.24320821767783823,0.7916590615941684,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114465942,1167472591,-3.212073094596994,-2.300721650167544,-2.4040344650121277,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114465989,1167472591,-3.278264880935673,-1.601288020792619,-2.4040344650121277,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114466734,1167472591,-3.303101807472018,-0.8632976965339071,-2.4040344650121277,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114466155,1167472591,-3.467494253263202,-1.729949299637241,-2.4040344650121277,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114465942,1167472594,-2.218393600654586,-2.300721650167544,-1.341391452050201,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114465989,1167472594,-2.897218064760442,-1.601288020792619,-1.341391452050201,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114466734,1167472594,-2.450327951595879,-0.8632976965339071,-1.341391452050201,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114466155,1167472594,-2.373825901759661,-1.729949299637241,-1.341391452050201,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114465942,1167472269,-2.84044665222245,-2.300721650167544,-2.2451664752890554,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114465989,1167472269,-2.994974127014338,-1.601288020792619,-2.2451664752890554,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114466734,1167472269,-2.040798258625423,-0.8632976965339071,-2.2451664752890554,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114466155,1167472269,-3.190712671575863,-1.729949299637241,-2.2451664752890554,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114465942,1167472257,-2.275485187085543,-2.300721650167544,-1.7974386777679054,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114465989,1167472257,-2.07945918887757,-1.601288020792619,-1.7974386777679054,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114466734,1167472257,-2.425960290262795,-0.8632976965339071,-1.7974386777679054,1,2,2,0.9494587503608551
PRMT5,PRMT1,1114466155,1167472257,-2.304949814872195,-1.729949299637241,-1.7974386777679054,1,2,2,0.9494587503608551
TRPS1,SIRPB1,1046542498,1168925904,0.67446066485463,0.9512182668976921,0.7337109032185272,2,2,2,0.9494587503608551
TRPS1,SIRPB1,1046542458,1168924961,0.1869462012592203,0.27644081289948735,0.6600699812957915,2,2,2,0.9494587503608551
AARD,ZNF572,1046659937,1047452336,-0.03644322262457724,0.5179011311496946,0.17207714452876707,2,2,2,0.9494587503608551
AARD,ZNF572,1046659960,1047452390,0.8146449444292898,1.175793045338584,0.49630849713948794,2,2,2,0.9494587503608551
FAM135B,PTP4A3,1048807097,1049220563,-0.1224374143257511,0.35164862408898107,0.32505475048506344,2,2,2,0.9494587503608551
FAM135B,PTP4A3,1048796221,1049220558,-0.33506219324702363,0.07522845418892699,0.9271362087647057,2,2,2,0.9494587503608551
SNTB1,FBXO32,1047024526,1047291204,-0.37657795821735585,-0.01715423969548428,0.9872940929144058,2,2,2,0.9494587503608551
SNTB1,FBXO32,1047013138,1047291201,0.4413051766862821,0.5632375605945276,0.6149842558757963,2,2,1,0.9494587503608551
FER1L6,SLC45A4,1047344859,1049180344,0.6810207657790166,0.8455997553861934,0.8760048926369624,2,2,2,0.9494587503608551
FER1L6,SLC45A4,1047346652,1049180275,-0.05001961768178495,-0.03560611870568134,0.6572861355824711,2,2,2,0.9494587503608551
SLC30A8,GPR20,1046679532,1049204506,0.2670469577710868,-0.0204967320946408,0.38918605523322414,2,2,2,0.9494587503608551
SLC30A8,GPR20,1046679961,1049204546,0.5712649352216526,0.4711814501126616,0.25645486574942866,2,2,2,0.9494587503608551
GSDMC,SLA,1047935688,1048272235,0.0820242175886437,1.0026074422747888,0.6297008387164281,2,2,2,0.9494587503608551
GSDMC,SLA,1047934723,1048273089,-0.19262549603629164,0.04404535343881952,0.46686984992109914,2,2,2,0.9494587503608551
SAMD12,HAS2,1046802114,1047096208,0.15363511689773393,0.13333927307379342,1.0459528337391302,2,2,2,0.9494587503608551
SAMD12,HAS2,1046815638,1047096197,-0.637475526667691,0.27289969432597594,0.12587537217436814,2,2,2,0.9494587503608551
RNF139,HHLA1,1047394797,1048167884,-0.7946205469092125,-0.32359964079969145,-0.38715864120175014,2,2,2,0.9494587503608551
RNF139,HHLA1,1047394762,1048169055,-0.08901318386048569,0.6148764737425678,0.3237796087692306,2,2,2,0.9494587503608551
RAD21,KCNK9,1046652599,1048980850,-1.8985720633448482,-0.7431259128022416,-0.07967442237463493,2,2,2,0.9494587503608551
RAD21,KCNK9,1046652881,1048980833,-1.9289668631004635,-1.0658520206816815,0.07425662096902463,2,2,2,0.9494587503608551
