gene_a,gene_b,guide_a,guide_b,m_a0,m_0b,m_ab,mu,delta,rho_star,n_double,n_single_a,n_single_b,noise,lower_0.05,upper_0.05,sign_0.05,lower_0.1,upper_0.1,sign_0.1,lower_0.2,upper_0.2,sign_0.2,lower_0.3,upper_0.3,sign_0.3
BCL2L1,MCL1,1171994553,914758358,-0.3571239722717434,0.5990398680554515,-1.831806712825998,0.9494587503608551,-1.1242638582488511,0.6784929205249117,1,2,2,0.238658101416142,-1.4457720399118932,-0.802755676585809,NEGATIVE,-1.5286221201587933,-0.7199055963389089,NEGATIVE,-1.6943222806525935,-0.5542054358451087,NEGATIVE,-1.8600224411463937,-0.3885052753513085,NEGATIVE
BCL2L1,MCL1,1171994553,914758316,-0.3571239722717434,0.7823807709051706,-1.174104785933755,0.9494587503608551,-0.6499028342063271,0.44101252973996524,1,2,2,0.238658101416142,-0.9622439707268833,-0.33756169768577093,NEGATIVE,-1.0359270058312975,-0.2638786625813568,NEGATIVE,-1.1832930760401257,-0.11651259237252842,NEGATIVE,-1.330659146248954,0.03085347783629988,UNRESOLVED
BCL2L1,MCL1,1171994566,914758331,0.1916972123836776,0.9967536212725142,-0.8328492694184408,0.9494587503608551,-1.0718413527137773,1.3313866467980366,1,2,2,0.238658101416142,-1.3507522745743612,-0.7929304308531935,NEGATIVE,-1.3910050950188029,-0.7526776104087517,NEGATIVE,-1.4715107359076867,-0.672171969519868,NEGATIVE,-1.5520163767965705,-0.5916663286309843,NEGATIVE
BCL2L1,MCL1,1171994566,914758312,0.1916972123836776,0.7626212861121809,-1.081295411442637,0.9494587503608551,-1.0861551595776402,1.1498584658868214,1,2,2,0.238658101416142,-1.3720432111050749,-0.8002671080502056,NEGATIVE,-1.4192731612163674,-0.753037157938913,NEGATIVE,-1.5137330614389526,-0.6585772577163278,NEGATIVE,-1.6081929616615378,-0.5641173574937427,NEGATIVE
BCL2L1,MCL1,1171994566,914758358,0.1916972123836776,0.5990398680554515,-1.256586328379148,0.9494587503608551,-1.0978646584574219,0.9906912614260692,1,2,2,0.238658101416142,-1.391931780887693,-0.8037975360271508,NEGATIVE,-1.447340801901822,-0.7483885150130217,NEGATIVE,-1.5581588439300802,-0.6375704729847637,NEGATIVE,-1.668976885958338,-0.5267524309565056,NEGATIVE
BCL2L1,MCL1,1171994566,914758316,0.1916972123836776,0.7823807709051706,-0.4297622359724565,0.9494587503608551,-0.4543814689004495,0.4913084490179507,1,2,2,0.238658101416142,-0.7392815461882346,-0.1694813916126644,NEGATIVE,-0.7855235220598777,-0.12323941574102126,NEGATIVE,-0.8780074738031639,-0.0307554639977351,NEGATIVE,-0.9704914255464502,0.061728487745551175,UNRESOLVED
BRAF,RBM14,1033379492,1084053576,-0.4092464768578173,-1.9489434367193612,-2.35141409637225,0.9494587503608551,0.9562345675657837,0.22462072823296803,1,2,6,0.4884199747706823,0.2549592220801571,1.6575099130514104,POSITIVE,0.04210385136521255,1.870365283766355,POSITIVE,-0.3836068900646763,2.2960760251962435,UNRESOLVED,-0.8093176314945649,2.721786766626132,UNRESOLVED
BRAF,RBM14,1033379492,1084053605,-0.4092464768578173,-1.5359606182598502,-1.946010377568202,0.9494587503608551,0.9486554679103205,0.24678062436818032,1,2,5,0.4884199747706823,0.2680292633476693,1.6292816724729717,POSITIVE,0.07582303355570041,1.8214879022649406,POSITIVE,-0.30858942602823736,2.2059003618488786,UNRESOLVED,-0.6930018856121751,2.590312821432816,UNRESOLVED
BRAF,RBM14,1033379562,1084053576,-0.28152570775439645,-1.9489434367193612,-0.9613099121933182,0.9494587503608551,2.2186179826412946,0.5372754293237839,1,2,6,0.4884199747706823,1.523728675610839,2.91350728967175,POSITIVE,1.3172593433510655,3.1199766219315235,POSITIVE,0.9043206788315188,3.5329152864510704,POSITIVE,0.49138201431197204,3.9458539509706174,POSITIVE
BRAF,RBM14,1033379562,1084053605,-0.28152570775439645,-1.5359606182598502,-1.448615979726996,0.9494587503608551,1.3183290966481058,0.3547324666829783,1,2,5,0.4884199747706823,0.6440889305406257,1.992569262755586,POSITIVE,0.4582687392038278,2.178389454092384,POSITIVE,0.08662835653023215,2.5500298367659795,POSITIVE,-0.2850120261433635,2.921670219439575,UNRESOLVED
BRAF,RBM14,1033379490,1084053576,-0.1764766090431561,-1.9489434367193612,-2.093483040018965,0.9494587503608551,0.9813957561044073,0.24386516905416689,1,2,6,0.4884199747706823,0.29175890400951365,1.671032608199301,POSITIVE,0.09054202668530231,1.8722494855235123,POSITIVE,-0.3118917279631206,2.2746832401719352,UNRESOLVED,-0.7143254826115433,2.677116994820358,UNRESOLVED
BRAF,RBM14,1033379490,1084053605,-0.1764766090431561,-1.5359606182598502,-2.260492720251084,0.9494587503608551,0.4014032574127775,0.1111503265790594,1,2,5,0.4884199747706823,-0.26758445375914064,1.0703909685846957,UNRESOLVED,-0.44815219016037644,1.2509587049859314,UNRESOLVED,-0.809287662962848,1.612094177788403,UNRESOLVED,-1.1704231357653196,1.9732296505908746,UNRESOLVED
BRAF,RBM14,1033390638,1084053576,-1.0373317379027966,-1.9489434367193612,-2.467824935191763,0.9494587503608551,1.46790898979125,0.30048128852725836,1,2,6,0.4884199747706823,0.7352293812533743,2.2005885983291256,POSITIVE,0.49096974748618094,2.4448482320963194,POSITIVE,0.002450479951794149,2.933367499630706,POSITIVE,-0.48606878758259264,3.421886767165093,UNRESOLVED
BRAF,RBM14,1033390638,1084053605,-1.0373317379027966,-1.5359606182598502,-2.86329152932863,0.9494587503608551,0.6594595771948719,0.1474572075770827,1,2,5,0.4884199747706823,-0.05257089042002816,1.371490044809772,UNRESOLVED,-0.2761813832642461,1.59510053765399,UNRESOLVED,-0.7234023689526818,2.0423215233424257,UNRESOLVED,-1.1706233546411173,2.489542509030861,UNRESOLVED
BRAF,EGFR,1024980888,1033379492,0.11426626065557273,-0.4092464768578173,-1.213155372134099,0.9494587503608551,0.03128359442900064,0.014259367785323693,1,2,2,0.5118829510066232,-0.5902942424238202,0.6528614312818215,UNRESOLVED,-0.699989128270018,0.7625563171280193,UNRESOLVED,-0.9193788999624135,0.9819460888204148,UNRESOLVED,-1.1387686716548089,1.2013358605128102,UNRESOLVED
