gene_a,gene_b,lower,upper,sign,n_guide_pairs,rho
MAL2,OC90,-0.14749247271798638,0.42725428572556823,UNRESOLVED,2,0.2
MAP2K1,MAP2K2,0.33225510292473603,-0.6536092918842338,POSITIVE,16,0.2
MED30,NSMCE2,-0.1649665726967935,1.9257545088551655,UNRESOLVED,2,0.2
MRPL13,NDRG1,-0.6402721292754693,-0.3344865302503386,NEGATIVE,2,0.2
MTBP,MYC,0.27944245413979185,2.0498644129988315,POSITIVE,2,0.2
MTSS1,MTSS1,0.22297058483095034,1.1015154353714611,POSITIVE,1,0.2
PRMT1,PRMT5,0.7687848316494796,2.3284747710400984,POSITIVE,16,0.2
SIRPB1,TRPS1,-0.1859952540874057,0.17589978804201473,UNRESOLVED,2,0.2
AARD,ZNF572,-0.20897953158917548,0.3929838362133212,UNRESOLVED,2,0.3
ADCY8,AGO2,-0.11165574047908111,0.6901189843622698,UNRESOLVED,2,0.3
ANXA13,TRMT12,-0.0011930617047396508,0.962622284465234,UNRESOLVED,2,0.3
ASAP1,ZHX2,-0.28788331615438234,0.6517507924761237,UNRESOLVED,2,0.3
ATAD2,ZHX1,-0.16946602983299774,1.8102531226213991,UNRESOLVED,2,0.3
BCL2L1,MCL1,-0.8420824153857671,-0.7443895524616763,NEGATIVE,16,0.3
BRAF,EGFR,-0.09952628310461709,-0.05177848161192733,NEGATIVE,16,0.3
BRAF,ERBB2,-0.39908887289896255,0.021545834135531905,UNRESOLVED,16,0.3
BRAF,RBM14,0.49138201431197204,1.9732296505908746,POSITIVE,8,0.3
C8orf76,ZFAT,-0.3853861525064083,0.07759403140618279,UNRESOLVED,2,0.3
CHRAC1,WDYHV1,-0.1398312799538297,1.180294860003873,UNRESOLVED,2,0.3
COL14A1,WASHC5,-0.6043966184518799,0.7993421694247589,UNRESOLVED,2,0.3
COL22A1,UTP23,-0.6747443031467808,1.703233014733385,UNRESOLVED,2,0.3
COLEC10,TRIB1,-0.20245381071260693,1.2347222397839384,UNRESOLVED,2,0.3
DENND3,TATDN1,-0.1681412978371184,1.3553593297047586,UNRESOLVED,2,0.3
DEPTOR,TRAPPC9,-0.16229707196136223,0.9062596556112034,UNRESOLVED,2,0.3
DERL1,TNFRSF11B,-0.4484682589475839,0.964676304672132,UNRESOLVED,2,0.3
DSCC1,TMEM71,-0.46392765884585563,0.4926939827797563,UNRESOLVED,2,0.3
EFR3A,TMEM65,-0.347204608676409,0.9681137209387113,UNRESOLVED,2,0.3
EIF3H,TG,-0.3992448199737102,0.954653347605644,UNRESOLVED,2,0.3
ENPP2,TAF2,-0.6261385051574071,0.9282941369193225,UNRESOLVED,2,0.3
EXT1,TBC1D31,-0.6474124358224274,0.46847118858606296,UNRESOLVED,2,0.3
FAM135B,PTP4A3,-0.6153777380733683,0.2800292071807501,UNRESOLVED,2,0.3
FAM83A,SQLE,-0.2585586599233389,0.5074916661278059,UNRESOLVED,2,0.3
FAM91A1,NDUFB9,-0.7090186661766287,0.6460187732286364,UNRESOLVED,2,0.3
FBXO32,SNTB1,-0.45571220324440487,0.3561210472533469,UNRESOLVED,2,0.3
FER1L6,SLC45A4,-0.3788660221605046,0.23552261673559133,UNRESOLVED,2,0.3
GPR20,SLC30A8,0.4011323952407002,1.1850423442001348,POSITIVE,2,0.3
GSDMC,SLA,-0.7981734939818097,0.13873752376370685,UNRESOLVED,2,0.3
