gene_a,gene_b,n_guide_pairs,n_positive,n_negative,n_unresolved,gene_sign,rho
KHDRBS3,ST3GAL1,2,1,0,1,UNRESOLVED,0.1
KLHL38,POU5F1B,2,1,0,1,UNRESOLVED,0.1
LRRC6,PHF20L1,2,0,0,2,UNRESOLVED,0.1
MAL2,OC90,2,0,0,2,UNRESOLVED,0.1
MAP2K1,MAP2K2,16,4,4,8,UNRESOLVED,0.1
MED30,NSMCE2,2,1,0,1,UNRESOLVED,0.1
MRPL13,NDRG1,2,0,2,0,NEGATIVE,0.1
MTBP,MYC,2,2,0,0,POSITIVE,0.1
MTSS1,MTSS1,1,1,0,0,POSITIVE,0.1
PRMT1,PRMT5,16,12,0,4,UNRESOLVED,0.1
SIRPB1,TRPS1,2,0,0,2,UNRESOLVED,0.1
AARD,ZNF572,2,0,0,2,UNRESOLVED,0.2
ADCY8,AGO2,2,0,0,2,UNRESOLVED,0.2
ANXA13,TRMT12,2,2,0,0,POSITIVE,0.2
ASAP1,ZHX2,2,0,0,2,UNRESOLVED,0.2
ATAD2,ZHX1,2,1,0,1,UNRESOLVED,0.2
BCL2L1,MCL1,16,0,14,2,UNRESOLVED,0.2
BRAF,EGFR,16,1,1,14,UNRESOLVED,0.2
BRAF,ERBB2,16,0,1,15,UNRESOLVED,0.2
BRAF,RBM14,8,3,0,5,UNRESOLVED,0.2
C8orf76,ZFAT,2,0,0,2,UNRESOLVED,0.2
CHRAC1,WDYHV1,2,1,0,1,UNRESOLVED,0.2
COL14A1,WASHC5,2,0,0,2,UNRESOLVED,0.2
COL22A1,UTP23,2,0,0,2,UNRESOLVED,0.2
COLEC10,TRIB1,2,1,0,1,UNRESOLVED,0.2
DENND3,TATDN1,2,1,0,1,UNRESOLVED,0.2
DEPTOR,TRAPPC9,2,0,0,2,UNRESOLVED,0.2
DERL1,TNFRSF11B,2,0,0,2,UNRESOLVED,0.2
DSCC1,TMEM71,2,0,0,2,UNRESOLVED,0.2
EFR3A,TMEM65,2,0,0,2,UNRESOLVED,0.2
EIF3H,TG,2,0,0,2,UNRESOLVED,0.2
ENPP2,TAF2,2,0,0,2,UNRESOLVED,0.2
EXT1,TBC1D31,2,0,0,2,UNRESOLVED,0.2
FAM135B,PTP4A3,2,0,0,2,UNRESOLVED,0.2
FAM83A,SQLE,2,0,0,2,UNRESOLVED,0.2
FAM91A1,NDUFB9,2,0,0,2,UNRESOLVED,0.2
FBXO32,SNTB1,2,0,0,2,UNRESOLVED,0.2
FER1L6,SLC45A4,2,0,0,2,UNRESOLVED,0.2
GPR20,SLC30A8,2,2,0,0,POSITIVE,0.2
GSDMC,SLA,2,0,0,2,UNRESOLVED,0.2
HAS2,SAMD12,2,0,0,2,UNRESOLVED,0.2
HHLA1,RNF139,2,0,0,2,UNRESOLVED,0.2
KCNK9,RAD21,2,0,0,2,UNRESOLVED,0.2
KCNQ3,PTK2,2,0,0,2,UNRESOLVED,0.2
KHDRBS3,ST3GAL1,2,0,0,2,UNRESOLVED,0.2
KLHL38,POU5F1B,2,0,0,2,UNRESOLVED,0.2
LRRC6,PHF20L1,2,0,0,2,UNRESOLVED,0.2
MAL2,OC90,2,0,0,2,UNRESOLVED,0.2
MAP2K1,MAP2K2,16,3,2,11,UNRESOLVED,0.2
MED30,NSMCE2,2,0,0,2,UNRESOLVED,0.2
MRPL13,NDRG1,2,0,2,0,NEGATIVE,0.2
MTBP,MYC,2,2,0,0,POSITIVE,0.2
MTSS1,MTSS1,1,1,0,0,POSITIVE,0.2
PRMT1,PRMT5,16,7,0,9,UNRESOLVED,0.2
SIRPB1,TRPS1,2,0,0,2,UNRESOLVED,0.2
AARD,ZNF572,2,0,0,2,UNRESOLVED,0.3
ADCY8,AGO2,2,0,0,2,UNRESOLVED,0.3
ANXA13,TRMT12,2,0,0,2,UNRESOLVED,0.3
ASAP1,ZHX2,2,0,0,2,UNRESOLVED,0.3
ATAD2,ZHX1,2,0,0,2,UNRESOLVED,0.3
BCL2L1,MCL1,16,0,11,5,UNRESOLVED,0.3
BRAF,EGFR,16,0,1,15,UNRESOLVED,0.3
BRAF,ERBB2,16,0,0,16,UNRESOLVED,0.3
BRAF,RBM14,8,1,0,7,UNRESOLVED,0.3
C8orf76,ZFAT,2,0,0,2,UNRESOLVED,0.3
CHRAC1,WDYHV1,2,0,0,2,UNRESOLVED,0.3
COL14A1,WASHC5,2,0,0,2,UNRESOLVED,0.3
COL22A1,UTP23,2,0,0,2,UNRESOLVED,0.3
COLEC10,TRIB1,2,0,0,2,UNRESOLVED,0.3
DENND3,TATDN1,2,0,0,2,UNRESOLVED,0.3
DEPTOR,TRAPPC9,2,0,0,2,UNRESOLVED,0.3
DERL1,TNFRSF11B,2,0,0,2,UNRESOLVED,0.3
DSCC1,TMEM71,2,0,0,2,UNRESOLVED,0.3
EFR3A,TMEM65,2,0,0,2,UNRESOLVED,0.3
EIF3H,TG,2,0,0,2,UNRESOLVED,0.3
ENPP2,TAF2,2,0,0,2,UNRESOLVED,0.3
EXT1,TBC1D31,2,0,0,2,UNRESOLVED,0.3
FAM135B,PTP4A3,2,0,0,2,UNRESOLVED,0.3
FAM83A,SQLE,2,0,0,2,UNRESOLVED,0.3
FAM91A1,NDUFB9,2,0,0,2,UNRESOLVED,0.3
FBXO32,SNTB1,2,0,0,2,UNRESOLVED,0.3
FER1L6,SLC45A4,2,0,0,2,UNRESOLVED,0.3
GPR20,SLC30A8,2,2,0,0,POSITIVE,0.3
GSDMC,SLA,2,0,0,2,UNRESOLVED,0.3
HAS2,SAMD12,2,0,0,2,UNRESOLVED,0.3
HHLA1,RNF139,2,0,0,2,UNRESOLVED,0.3
KCNK9,RAD21,2,0,0,2,UNRESOLVED,0.3
KCNQ3,PTK2,2,0,0,2,UNRESOLVED,0.3
KHDRBS3,ST3GAL1,2,0,0,2,UNRESOLVED,0.3
KLHL38,POU5F1B,2,0,0,2,UNRESOLVED,0.3
LRRC6,PHF20L1,2,0,0,2,UNRESOLVED,0.3
MAL2,OC90,2,0,0,2,UNRESOLVED,0.3
MAP2K1,MAP2K2,16,1,2,13,UNRESOLVED,0.3
MED30,NSMCE2,2,0,0,2,UNRESOLVED,0.3
MRPL13,NDRG1,2,0,2,0,NEGATIVE,0.3
MTBP,MYC,2,0,0,2,UNRESOLVED,0.3
MTSS1,MTSS1,1,1,0,0,POSITIVE,0.3
PRMT1,PRMT5,16,1,0,15,UNRESOLVED,0.3
SIRPB1,TRPS1,2,0,0,2,UNRESOLVED,0.3
